Iteracion,J
100,71280.37305561663
200,221.21399549940065
300,219.20904207205783
400,219.2068268334026
500,219.20682438520015
600,219.20682438249446
700,219.20682438249148
800,219.2068243824914
900,219.2068243824914
1000,219.20682438249148
